object name,library name,text,rodata,data,bss,code,flash,ram
quec_atcmd_spi6nor.c.obj,..\..\components\ql-kernel\libs\libql_at.a,152,37,0,0,189,189,0
quec_msg_process.c.obj,..\..\components\ql-kernel\libs\libql_at.a,552,170,0,8,722,722,8
quec_at_engine.c.obj,..\..\components\ql-kernel\libs\libql_at_table.a,168,17,0,0,185,185,0
quec_at_param.c.obj,..\..\components\ql-kernel\libs\libql_at_table.a,1908,1,0,0,1909,1909,0
quec_atc_adapter.c.obj,..\..\components\ql-kernel\libs\libql_at_table.a,76,0,0,0,76,76,0
quec_atc_parser.c.obj,..\..\components\ql-kernel\libs\libql_at_table.a,5408,1066,0,3796,6474,6474,3796
quec_atresp.c.obj,..\..\components\ql-kernel\libs\libql_at_table.a,1352,5043,0,16,6395,6395,16
quec_data_engine.c.obj,..\..\components\ql-kernel\libs\libql_at_table.a,96,15,0,4,111,111,4
audio_resample.c.obj,..\..\components\ql-kernel\libs\libql_aud_resample.a,1232,9216,0,0,10448,10448,0
quec_camera.c.obj,..\..\components\ql-kernel\libs\libql_bsp.a,480,61,9,1,541,550,10
quec_dispatch.c.obj,..\..\components\ql-kernel\libs\libql_bsp.a,1660,241,0,4,1901,1901,4
quec_led_task.c.obj,..\..\components\ql-kernel\libs\libql_bsp.a,356,89,8,4,445,453,12
base64.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,552,89,0,0,641,641,0
conncache.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1436,182,0,0,1618,1618,0
connect.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,3648,782,0,0,4430,4430,0
content_encoding.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,4,0,0,0,4,4,0
curl_addrinfo.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,730,0,0,0,730,730,0
curl_ctype.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,208,128,0,0,336,336,0
curl_fnmatch.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1076,49,0,0,1125,1125,0
curl_path.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,576,9,0,0,585,585,0
